uni,website,mastodonUrl,xUri,facebookUrl,linkedInUrl,instagramUrl,blueskyUrl,tiktokUrl,YouTubeUrl
http://www.wikidata.org/entity/Q1997776,http://www.fhr-nord.niedersachsen.de/,,,,,,,,
http://www.wikidata.org/entity/Q2048456,http://www.palucca.eu/,,,,,,,,
http://www.wikidata.org/entity/Q2120205,http://www.ph-gmuend.de,,,,,,,,
http://www.wikidata.org/entity/Q21040613,https://www.polizei.rlp.de/die-polizei/dienststellen/hochschule-der-polizei-rheinland-pfalz,,,,,,,,
http://www.wikidata.org/entity/Q23782301,http://www.ba-breitenbrunn.de/,,,,,,,,
http://www.wikidata.org/entity/Q65952781,https://www.ba-leipzig.de,,,,,,,,
http://www.wikidata.org/entity/Q96623670,https://www.ba-riesa.de/,,,,,,,,
http://www.wikidata.org/entity/Q833822,https://www.uni-kassel.de/uni/,https://wisskomm.social/@unikassel,https://x.com/presseunikassel,https://www.facebook.com/unikassel,,https://www.instagram.com/unikassel,,,https://www.youtube.com/channel/UCldumqvEXqIE112Kyq2S9yg
http://www.wikidata.org/entity/Q1060,https://www.tuhh.de/,,https://x.com/TUHamburg,https://www.facebook.com/tuhamburg,,https://www.instagram.com/tuhamburg,,,
http://www.wikidata.org/entity/Q2324294,http://www.abk-stuttgart.de,,https://x.com/ABKStuttgart,https://www.facebook.com/kunstakademiestuttgart,,https://www.instagram.com/abkstuttgart,,,
http://www.wikidata.org/entity/Q2646956,https://www.ash-berlin.eu/,,https://x.com/ash_berlin,https://www.facebook.com/ashbln,https://www.linkedin.com/company/alice-salomon-hochschule-berlin,https://www.instagram.com/alicesalomonhochschule,,,https://www.youtube.com/channel/UCnDEKBNniYb4HM7bv80f_oQ
http://www.wikidata.org/entity/Q55044,https://www.lmu.de/,,https://x.com/LMU_Muenchen,,,https://www.instagram.com/lmu.muenchen,,,
http://www.wikidata.org/entity/Q875138,https://www.htw-berlin.de/,https://wisskomm.social/@HTW_Berlin,https://x.com/htw_berlin,https://www.facebook.com/htwberlin,https://www.linkedin.com/company/htwberlin,https://www.instagram.com/htwberlin,,,https://www.youtube.com/channel/UCZv8-hpaj-cYiTAWnMKpHAQ
http://www.wikidata.org/entity/Q27973252,http://www.dhge.de,,https://x.com/dhgeraeisenach,https://www.facebook.com/Duale.Hochschule.Gera.Eisenach.Official,,https://www.instagram.com/dhgeraeisenach,,,https://www.youtube.com/channel/UCEsa5nPbmZb4p3s6qIQHbxg
http://www.wikidata.org/entity/Q111020102,https://rptu.de/,,https://x.com/rptu_kl_ld,https://www.facebook.com/RPTUKaiserslauternLandau,,https://www.instagram.com/rptu_kl_ld,,,https://www.youtube.com/channel/UCPRG6qYX0DeNlzK15zhqvuw
http://www.wikidata.org/entity/Q835662,https://www.uni-ulm.de/en/,https://mastodon.social/@UniUlm,https://x.com/uni_ulm,https://www.facebook.com/UniUlm,,https://www.instagram.com/universitaetulm,,,
http://www.wikidata.org/entity/Q1233544,https://www.hdm-stuttgart.de,https://bawü.social/@hdmstuttgart,https://x.com/hdm_stgt,https://www.facebook.com/hdmstuttgart,,https://www.instagram.com/hdm.stuttgart,,,
http://www.wikidata.org/entity/Q32120,https://www.uni-halle.de/,,https://x.com/unihalle,https://www.facebook.com/unihalle,https://www.linkedin.com/company/unihalle,https://www.instagram.com/uni_halle,,,https://www.youtube.com/channel/UCG0R-7pdsU4S9hSbrN-09NQ
http://www.wikidata.org/entity/Q835440,https://www.uni-konstanz.de/,https://bawü.social/@unikonstanz,https://x.com/unikonstanz,https://www.facebook.com/unikonstanz,,https://www.instagram.com/unikonstanz,,,https://www.youtube.com/channel/UCUueIuY4dt-gnuzCJmbyokw
